,Optimizer:,lambda,gamma,learning_rate,accuracy
213,Adagrad,0.0001,1.0,1.0,0.8187134502923976
214,RMSprop,0.0001,1.0,1.0,0.631578947368421
215,Adam,0.0001,1.0,1.0,0.8245614035087719
216,Adagrad,0.001,0.0,,0.8187134502923976
217,RMSprop,0.001,0.0,,0.7426900584795322
218,Adam,0.001,0.0,,0.8128654970760234
219,Adagrad,0.001,0.0,0.0001,0.9239766081871345
220,RMSprop,0.001,0.0,0.0001,0.8654970760233918
221,Adam,0.001,0.0,0.0001,0.8596491228070176
222,Adagrad,0.001,0.0,0.001,0.9239766081871345
223,RMSprop,0.001,0.0,0.001,0.8596491228070176
224,Adam,0.001,0.0,0.001,0.7777777777777778
225,Adagrad,0.001,0.0,0.01,0.7953216374269005
226,RMSprop,0.001,0.0,0.01,0.7134502923976608
227,Adam,0.001,0.0,0.01,0.8070175438596491
228,Adagrad,0.001,0.0,0.1,0.8070175438596491
229,RMSprop,0.001,0.0,0.1,0.8070175438596491
230,Adam,0.001,0.0,0.1,0.8187134502923976
231,Adagrad,0.001,0.0,1.0,0.8187134502923976
232,RMSprop,0.001,0.0,1.0,0.8187134502923976
233,Adam,0.001,0.0,1.0,0.8830409356725146
234,Adagrad,0.001,0.0001,,0.8187134502923976
235,RMSprop,0.001,0.0001,,0.7485380116959064
236,Adam,0.001,0.0001,,0.8128654970760234
237,Adagrad,0.001,0.0001,0.0001,0.9239766081871345
238,RMSprop,0.001,0.0001,0.0001,0.8654970760233918
239,Adam,0.001,0.0001,0.0001,0.8596491228070176
240,Adagrad,0.001,0.0001,0.001,0.9239766081871345
241,RMSprop,0.001,0.0001,0.001,0.8596491228070176
242,Adam,0.001,0.0001,0.001,0.7777777777777778
243,Adagrad,0.001,0.0001,0.01,0.7953216374269005
244,RMSprop,0.001,0.0001,0.01,0.7134502923976608
245,Adam,0.001,0.0001,0.01,0.8070175438596491
246,Adagrad,0.001,0.0001,0.1,0.8070175438596491
247,RMSprop,0.001,0.0001,0.1,0.8011695906432749
248,Adam,0.001,0.0001,0.1,0.8187134502923976
249,Adagrad,0.001,0.0001,1.0,0.8187134502923976
250,RMSprop,0.001,0.0001,1.0,0.8187134502923976
251,Adam,0.001,0.0001,1.0,0.8830409356725146
252,Adagrad,0.001,0.001,,0.8187134502923976
253,RMSprop,0.001,0.001,,0.7602339181286549
254,Adam,0.001,0.001,,0.8128654970760234
255,Adagrad,0.001,0.001,0.0001,0.9239766081871345
256,RMSprop,0.001,0.001,0.0001,0.8596491228070176
257,Adam,0.001,0.001,0.0001,0.8596491228070176
258,Adagrad,0.001,0.001,0.001,0.9239766081871345
259,RMSprop,0.001,0.001,0.001,0.8654970760233918
260,Adam,0.001,0.001,0.001,0.7777777777777778
261,Adagrad,0.001,0.001,0.01,0.7953216374269005
262,RMSprop,0.001,0.001,0.01,0.7192982456140351
263,Adam,0.001,0.001,0.01,0.8070175438596491
264,Adagrad,0.001,0.001,0.1,0.8070175438596491
265,RMSprop,0.001,0.001,0.1,0.7719298245614035
266,Adam,0.001,0.001,0.1,0.8187134502923976
267,Adagrad,0.001,0.001,1.0,0.8187134502923976
268,RMSprop,0.001,0.001,1.0,0.8128654970760234
269,Adam,0.001,0.001,1.0,0.8830409356725146
