Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,95.6140350877193
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,83.33333333333334
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,MSE,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,MSE,binary_cross_entropy_derivative,53.50877192982456
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,60.526315789473685
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,94.73684210526315
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,95.6140350877193
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,94.73684210526315
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,94.73684210526315
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,90.35087719298247
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,93.85964912280701
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
